"Country","Year","Qty","TotalImport"
"Japan","1990",5330,319800000
"Japan","1991",5510,330600000
"Japan","1992",5326,319560000
"Japan","1993",5691,341460000
"Japan","1994",6217,373020000
"Japan","1995",5489,329340000
"Japan","1996",5994,359640000
"Japan","1997",5921,355260000
"Japan","1998",6027,361620000
"Japan","1999",6547,392820000
"Japan","2000",6908,414480000
"Japan","2001",6996,419760000
"Japan","2002",7307,438420000
"Japan","2003",6923,415380000
"Japan","2004",7254,435240000
"Japan","2005",7408,444480000
"Japan","2006",7632,457920000
"Japan","2007",7086,425160000
"Japan","2008",7060,423600000
"Japan","2009",7090,425400000
"Japan","2010",7407,444420000
"Japan","2011",7544,452640000
"Japan","2012",7025,421500000
"Japan","2013",8381,502860000
"Japan","2014",7657,459420000
"Japan","2015",8063,483780000
"Japan","2016",8026,481560000
"Japan","2017",7647,458820000
"Japan","2018",7539.98,452398800
"USA","1990",21007,1260420000
"USA","1991",19840,1190400000
"USA","1992",22939,1376340000
"USA","1993",19329,1159740000
"USA","1994",16171,970260000
"USA","1995",17107,1026420000
"USA","1996",19445,1166700000
"USA","1997",20343,1220580000
"USA","1998",21030,1261800000
"USA","1999",22746,1364760000
"USA","2000",23767,1426020000
"USA","2001",21415,1284900000
"USA","2002",21639,1298340000
"USA","2003",22760,1365600000
"USA","2004",23184,1391040000
"USA","2005",23042,1382520000
"USA","2006",23709,1422540000
"USA","2007",24219,1453140000
"USA","2008",24277,1456620000
"USA","2009",23578,1414680000
"USA","2010",24378,1462680000
"USA","2011",26093,1565580000
"USA","2012",26056,1563360000
"USA","2013",27016,1620960000
"USA","2014",27565,1653900000
"USA","2015",27708,1662480000
"USA","2016",28838,1730280000
"USA","2017",29487.89,1769273400
"USA","2018",28918.21,1735092600
"Africa","1990",2088.26,125295600
"Africa","1991",2875.8,172548000
"Africa","1992",2089.29,125357400
"Africa","1993",2633.89,158033400
"Africa","1994",2717.15,163029000
"Africa","1995",1919.69,115181400
"Africa","1996",2306.02,138361200
"Africa","1997",2700.41,162024600
"Africa","1998",1748.72,104923200
"Africa","1999",3548.81,212928600
"Africa","2000",3189.25,191355000
"Africa","2001",2815,168900000
"Africa","2002",3444,206640000
"Africa","2003",3267,196020000
"Africa","2004",3913,234780000
"Africa","2005",3685,221100000
"Africa","2006",3681,220860000
"Africa","2007",3973,238380000
"Africa","2008",4526,271560000
"Africa","2009",4437,266220000
"Africa","2010",4645,278700000
"Africa","2011",4486,269160000
"Africa","2012",4965,297900000
"Africa","2013",5810,348600000
"Africa","2014",5233,313980000
"Africa","2015",5530,331800000
"Africa","2016",5867,352020000
"Africa","2017",5240,314400000
"Africa","2018",6347,380820000
"Asia & Oceania","1990",4611.37,276682200
"Asia & Oceania","1991",5063.49,303809400
"Asia & Oceania","1992",5995.91,359754600
"Asia & Oceania","1993",5819.22,349153200
"Asia & Oceania","1994",6015.43,360925800
"Asia & Oceania","1995",5571.56,334293600
"Asia & Oceania","1996",5777.07,346624200
"Asia & Oceania","1997",6042.12,362527200
"Asia & Oceania","1998",6032.95,361977000
"Asia & Oceania","1999",6332.27,379936200
"Asia & Oceania","2000",6813.46,408807600
"Asia & Oceania","2001",7967,478020000
"Asia & Oceania","2002",8278,496680000
"Asia & Oceania","2003",7758,465480000
"Asia & Oceania","2004",9036,542160000
"Asia & Oceania","2005",9040,542400000
"Asia & Oceania","2006",9099,545940000
"Asia & Oceania","2007",10056,603360000
"Asia & Oceania","2008",10250,6.15e+08
"Asia & Oceania","2009",10564,633840000
"Asia & Oceania","2010",11931,715860000
"Asia & Oceania","2011",13143,788580000
"Asia & Oceania","2012",14175,850500000
"Asia & Oceania","2013",14668,880080000
"Asia & Oceania","2014",15438,926280000
"Asia & Oceania","2015",16702,1002120000
"Asia & Oceania","2016",17296,1037760000
"Asia & Oceania","2017",19840,1190400000
"Asia & Oceania","2018",20290,1217400000
"North America","1990",2253.48,135208800
"North America","1991",2356.15,141369000
"North America","1992",2271.01,136260600
"North America","1993",2488.92,149335200
"North America","1994",2827.13,169627800
"North America","1995",2509.89,150593400
"North America","1996",2763.46,165807600
"North America","1997",2863.89,171833400
"North America","1998",3410.34,204620400
"North America","1999",3315.16,198909600
"North America","2000",3321.07,199264200
"North America","2001",3376.95,202617000
"North America","2002",3199.32,191959200
"North America","2003",2984.95,179097000
"North America","2004",3508.85,210531000
"North America","2005",3588.62,215317200
"North America","2006",3809.04,228542400
"North America","2007",3902.24,234134400
"North America","2008",3805.38,228322800
"North America","2009",3896.48,233788800
"North America","2010",4365.8,261948000
"North America","2011",4542.11,272526600
"North America","2012",4444,266640000
"North America","2013",4520,271200000
"North America","2014",4981,298860000
"North America","2015",4698,281880000
"North America","2016",4873,292380000
"North America","2017",5098,305880000
"North America","2018",5114,306840000
"Canada","1990",2253.48,135208800
"Canada","1991",2356.15,141369000
"Canada","1992",2271.01,136260600
"Canada","1993",2488.92,149335200
"Canada","1994",2827.13,169627800
"Canada","1995",2509.89,150593400
"Canada","1996",2763.46,165807600
"Canada","1997",2863.89,171833400
"Canada","1998",3410.34,204620400
"Canada","1999",3315.16,198909600
"Canada","2000",3321.07,199264200
"Canada","2001",3376.95,202617000
