"Country","Year","Qty","Group"
"Angola","1990",3.0207,"Other Producers"
"Angola","1991",4.75986,"Other Producers"
"Angola","1992",4.6512,"Other Producers"
"Angola","1993",1.95648,"Other Producers"
"Angola","1994",4.60812,"Other Producers"
"Angola","1995",3.72654,"Other Producers"
"Angola","1996",4.2555,"Other Producers"
"Angola","1997",3.8598,"Other Producers"
"Angola","1998",5.12064,"Other Producers"
"Angola","1999",3.29634,"Other Producers"
"Angola","2000",2.9871,"Other Producers"
"Angola","2001",1.2414,"Other Producers"
"Angola","2002",3.3984,"Other Producers"
"Angola","2003",2.28078,"Other Producers"
"Angola","2004",0.8862,"Other Producers"
"Angola","2005",1.4979,"Other Producers"
"Angola","2006",2.1057,"Other Producers"
"Angola","2007",2.13786,"Other Producers"
"Angola","2008",2.2566,"Other Producers"
"Angola","2009",0.8052,"Other Producers"
"Angola","2010",2.0982,"Other Producers"
"Angola","2011",1.7229,"Other Producers"
"Angola","2012",1.9674,"Other Producers"
"Angola","2013",2.0961,"Other Producers"
"Angola","2014",2.3643,"Other Producers"
"Angola","2015",2.4309,"Other Producers"
"Angola","2016",2.6898,"Other Producers"
"Angola","2017",2.10036,"Other Producers"
"Angola","2018",2.423244,"Other Producers"
"Bolivia (Plurinational State of)","1990",7.36662,"Other Producers"
"Bolivia (Plurinational State of)","1991",6.21216,"Other Producers"
"Bolivia (Plurinational State of)","1992",7.2141,"Other Producers"
"Bolivia (Plurinational State of)","1993",3.04938,"Other Producers"
"Bolivia (Plurinational State of)","1994",7.01664,"Other Producers"
"Bolivia (Plurinational State of)","1995",8.5491,"Other Producers"
"Bolivia (Plurinational State of)","1996",7.47474,"Other Producers"
"Bolivia (Plurinational State of)","1997",8.44314,"Other Producers"
"Bolivia (Plurinational State of)","1998",8.2791,"Other Producers"
"Bolivia (Plurinational State of)","1999",9.46212,"Other Producers"
"Bolivia (Plurinational State of)","2000",8.85624,"Other Producers"
"Bolivia (Plurinational State of)","2001",5.64096,"Other Producers"
"Bolivia (Plurinational State of)","2002",7.60008,"Other Producers"
"Bolivia (Plurinational State of)","2003",6.19938,"Other Producers"
"Bolivia (Plurinational State of)","2004",9.288426,"Other Producers"
"Bolivia (Plurinational State of)","2005",6.598152,"Other Producers"
"Bolivia (Plurinational State of)","2006",8.785782,"Other Producers"
"Bolivia (Plurinational State of)","2007",6.961752,"Other Producers"
"Bolivia (Plurinational State of)","2008",7.225116,"Other Producers"
"Bolivia (Plurinational State of)","2009",7.708506,"Other Producers"
"Bolivia (Plurinational State of)","2010",7.033494,"Other Producers"
"Bolivia (Plurinational State of)","2011",7.910124,"Other Producers"
"Bolivia (Plurinational State of)","2012",6.316872,"Other Producers"
"Bolivia (Plurinational State of)","2013",7.194732,"Other Producers"
"Bolivia (Plurinational State of)","2014",5.992596,"Other Producers"
"Bolivia (Plurinational State of)","2015",5.053146,"Other Producers"
"Bolivia (Plurinational State of)","2016",4.67901,"Other Producers"
"Bolivia (Plurinational State of)","2017",5.028672,"Other Producers"
"Bolivia (Plurinational State of)","2018",4.954122,"Other Producers"
"Brazil","1990",1637.137716,"Top Producers"
"Brazil","1991",1637.609604,"Top Producers"
"Brazil","1992",2076.201252,"Top Producers"
"Brazil","1993",1690.018716,"Top Producers"
"Brazil","1994",1691.52282,"Top Producers"
"Brazil","1995",1083.612132,"Top Producers"
"Brazil","1996",1751.80458,"Top Producers"
"Brazil","1997",1568.88024,"Top Producers"
"Brazil","1998",2205.651198,"Top Producers"
"Brazil","1999",2854.66839,"Top Producers"
